"","species","ID","N_wght_p_GREEN","N_wght_p_DEAD","C_wght_p_GREEN","C_wght_p_DEAD"
"392","F3","165_26E_219",3,2.09,37.73,35.94
"393","F3","165_26E_221",3.24,1.67,37.5,36.76
"394","F3","165_31D_86",3,1.6,40.86,39.86
"395","F1","251_12_05",3.55,NA,39.07,NA
"396","F1","251_12_116",3.63,1.86,38.78,38.46
"397","F1","251_12_20",4.04,NA,39.44,NA
"398","F1","251_12_26",3.63,NA,39.27,NA
"399","F1","251_12_32",3.91,NA,38.87,NA
"400","F1","251_12_37",4.08,NA,38.6,NA
"401","F1","251_12_59",3.66,NA,38.83,NA
"402","F1","251_12_64",3.22,NA,38.85,NA
"403","F1","251_12_65",3.97,NA,38.8,NA
"404","F1","251_12B_100",3.61,NA,36.79,NA
"405","F1","251_12B_102",3.87,NA,39.07,NA
"406","F1","251_12B_46",3.28,NA,39.52,NA
"407","F1","251_12B_49",3.81,NA,39.25,NA
"408","F1","251_12B_50",4.48,NA,38.1,NA
"409","F1","251_12B_73",3.85,NA,37.3,NA
"410","F1","251_12B_76",3.93,NA,38.42,NA
"411","F1","251_12B_80",3.71,NA,37.75,NA
"412","F1","251_12B_84",3.32,NA,39.06,NA
"413","F1","251_12B_93",4.19,NA,38.79,NA
"414","F1","251_14_12",3.28,NA,38.49,NA
"415","F1","251_14_31",3.58,NA,36.87,NA
"416","F1","251_14_42",3.32,NA,38.51,NA
"417","F1","251_14_44",4.03,NA,38.55,NA
"418","F1","251_29D_30",3.83,NA,37.18,NA
"419","ALLE","ALLE_JG_003",2.31,2.37,40.99,43.04
"420","ALLE","ALLE_JG_007_03",2.63,2.19,38.3,39.59
"421","ALLE","ALLE_JG_007_04",NA,1.98,NA,37.25
"422","ALLE","ALLE_JG_007_07",3.17,2.79,40.86,42.76
"423","ALLE","ALLE_JG_007_08",3.28,2.29,39.55,39.74
"424","ALLE","ALLE_JG_007_10",3.61,2.45,39.7,39.66
"425","ALLE","ALLE_JG_007_12",3.63,2.94,38.91,38.89
"426","ALLE","ALLE_JG_007_4",2.58,NA,37.43,NA
"427","ALLE","ALLE_JH_0221_02",NA,2.4,NA,36
"428","ALLE","ALLE_JH_0229_14",NA,2.97,NA,36.65
"429","ALLE","ALLE_JH_0229_26",3.34,2.03,36.87,37.06
"430","ALLE","ALLE_JH_0229_27",2.99,1.55,37.89,37.05
"431","ALLE","ALLE_JH_0229_33",3.91,2.64,39.75,39.31
"432","ALLE","ALLE_JH_0229_37",3.54,2.51,38.02,37.25
"433","ALLE","ALLE_KK0147",2.16,1.46,41.79,42.76
"434","ALLE","ALLE_KK0149",2.27,2.15,42.78,44.21
"435","ALLE","ALLE_PLR1_004",2.34,2.12,41.89,43.24
"436","ALLE","ALLE_PLR2_001",2.35,2.09,42.59,44.38
"437","ALLE","ALLE_PLR2_002_01",3.59,2.36,39.31,39.95
"438","ALLE","ALLE_PLR2_002_02",3.53,2.45,41.22,40.77
"439","ALLE","ALLE_PLR2_002_03",3.71,2.58,40.09,39.83
"440","ALLE","ALLE_PLR2_002_04",3.83,2.83,41.45,41.15
"441","ALLE","ALLE_PLR2_002_05",3.71,2.21,40.16,39.84
"442","ALLE","ALLE_PLR2_002_06",3.53,2.36,41.15,40.65
"443","ALLE","ALLE_PLR2_002_07",3.84,2.37,40.11,39.99
"444","ALLE","ALLE_PLR2_002_08",2.87,2.5,41.29,41.65
"445","ALLE","ALLE_PLR2_002_09",3.26,2.37,36.48,36.11
"446","ALLE","ALLE_PLR2_002_10",NA,2.45,NA,39.43
"447","ALLE","ALLE_PLR2_002_11",3.6,2.24,39.4,39.14
"448","ALLE","ALLE_PLR2_002_13",3.07,2.19,36.79,37.11
"449","ALLE","ALLE_PLR2_002_14",3.31,2.16,38.67,38.7
"450","ALLE","ALLE_PLR2_002_18",2.96,1.74,37.49,36.54
"451","ALLE","ALLE_UNKNOWN",2.4,2.24,42.16,42.65
"452","VILL","VILL_GG_0007_85",NA,1.39,NA,37.93
"453","VILL","VILL_GG_0007_07",NA,1.92,NA,36.79
"454","VILL","VILL_GG_0007_15",3.41,1.51,34.71,34.75
"455","VILL","VILL_GG_0007_21",NA,1.3,NA,35.17
"456","VILL","VILL_GG_0007_29",3.67,1.35,34.44,35.63
