ID,G_parent,parent,type,tissue_collected,D_extracted,days_to_radicle,GR.M2.date,GR.cm.dy,GR.days,total_growth,notes,date,thick.1,thick.2,thick.3,tough.1,tough.2,tough.3,area,wet.g,wet.date,dry.g,dry.date,tmp.ldmc,N_wght_p_GREEN,N_wght_p_DEAD,DD_date_start,PER1_start,PER2_start,Grn.SPAD_start,date_end,PER1_end,PER2_end,Dry.SPAD_end,C_wght_p_GREEN,C_wght_p_DEAD
165_009_89,165,165_009,F3,y,y,21,5/30/22,0.69,26,17.9,,7/15/22,0.361,0.393,0.582,66,110,192,54.35,2.24,7/16/22,0.34,7/29/22,0.151785714,3.28,1.89,7/25/22,2940,2990,59.3,8/26/22,2090,2046,21.5,37.39,36.59
165_009_90,165,165_009,F3,y,y,21,6/6/22,0.64,26,16.7,,7/25/22,0.391,0.453,0.593,72,94,128,38.62,1.56,8/1/22,0.22,8/5/22,0.141025641,4.05,2.31,8/1/22,2701,2611,51.8,9/12/22,2013,2006,21.5,39.79,40.44
165_009_93,165,165_009,F3,y,y,21,6/6/22,0.67,26,17.5,,7/25/22,0.358,0.429,0.615,62,72,144,49.74,2.1,8/1/22,0.27,8/5/22,0.128571429,3.55,2.52,8/1/22,2633,3012,56.5,8/26/22,2013,2023,15.5,36.38,36.85
165_009_94,165,165_009,F3,y,y,21,6/6/22,0.5,26,12.9,,7/25/22,0.352,0.388,0.499,86,100,158,38.23,1.62,8/1/22,0.21,8/5/22,0.12962963,3.6,2.47,8/1/22,3647,2551,58.6,9/9/22,2006,2006,32.8,37.63,36.87
165_009_95,165,165_009,F3,y,y,21,6/6/22,0.57,26,14.7,,7/25/22,0.371,0.428,0.513,50,132,106,47.49,2.09,8/1/22,0.28,8/5/22,0.133971292,3.41,2.28,8/1/22,3282,3644,62.2,8/26/22,2022,2022,26.5,38.04,37
165_009_96,165,165_009,F3,y,y,21,6/6/22,0.6,26,15.6,,7/25/22,0.381,0.464,0.616,64,102,152,39.16,1.74,8/1/22,0.19,8/5/22,0.109195402,3.11,1.95,8/1/22,3740,3323,55,9/9/22,2009,2003,29,37.7,37.6
165_009_98,165,165_009,F3,y,y,21,6/13/22,0.91,26,23.7,,8/7/22,0.373,0.419,0.622,42,104,110,26.67,1.13,8/5/22,0.12,8/10/22,0.10619469,4.412,NA,8/8/22,2899,2765,51.9,9/1/22,2037,2017,15,37.126,NA
165_009_99,165,165_009,F3,y,y,21,5/30/22,0.43,26,11.1,,7/15/22,0.354,0.398,0.574,78,98,100,28.13,1.02,7/16/22,0.15,7/29/22,0.147058824,3.85,3.16,7/25/22,3789,3725,57.1,9/5/22,2009,2009,46.1,39.99,39.71
165_009B_02,165,165_009,F3,y,y,12,5/16/22,0.46,26,11.9,,6/29/22,0.388,0.421,0.558,92,132,140,26.31,1.03,6/11/22,0.13,7/15/22,0.126213592,3.33,1.75,7/11/22,2336,2449,61.1,8/1/22,2030,2035,22.6,38.58,37.39
165_009B_03,165,165_009,F3,y,y,12,5/16/22,0.26,26,6.8,,6/17/22,0.428,0.485,0.729,72,108,150,39.32,1.42,6/11/22,0.17,7/15/22,0.11971831,3.928,2.034,7/11/22,2672,2780,60.8,8/15/22,2019,2001,29.1,39.237,38.128
